Mois;Injections nettes RPT Nucléaire (MWh);Injections nettes RPT Thermique à combustible fossile (MWh);Injections nettes RPT  Hydraulique (MWh);Injections nettes RPT  Eolien (MWh);Injections nettes RPT  Solaire (MWh);Injections nettes RPT  Bioénergies (MWh);Injections nettes RPT  NA (MWh);Injections nettes RPT  NR (MWh);Soutirages nettes RPD (MWh);Soutirages bruts des clients directs (MWh);Energie soutirée par le pompage (MWh);Solde des échanges physiques (MWh);Energie soutirée par le stockage (MWh);Pertes sur le réseau de RTE (MWh)
2023-07;24063773.120657;1534731.462163;3628481.751672;380356.172721;139097.507669;129427.834827;2044801.372206;0.0;19261120.815396;4993154.589675;385520.382025;4411261.666146999;1989.9424289999997;2867621.826242968
2023-06;22723899.675663;1527032.647673;5178786.662658;243810.43953;146819.608858;122196.533827;1486570.149871;0.0;19263120.9612179;4739110.917782;290159.402876;4979353.278179001;1228.0124919999998;2156143.145533051
2023-05;25176602.810326;986401.067951;4705940.481333;438084.036171;140650.1500380001;141837.644343;2391456.153687;0.0;18284384.804401;4980269.392944;412645.759204;7091441.908076999;1270.2556579999998;3210960.223565022
2023-04;24990279.800504;1652376.987972;3970379.189907;451498.575492;113433.173289;140044.178835;2202293.865598;0.0;22451232.2971709;4719843.184059;366634.695771;2932681.614592;1266.3867910000001;3048647.593213069
2023-03;25637451.082995;2311203.53915;3994476.332072;673523.832325;84118.220505;155599.302169;3197298.456896;0.0;25743667.589057;4344228.586258;372355.161298;1438638.8332269995;1206.2688570000003;4153574.32741504
2023-02;28786849.073504;3640306.731395;3156160.441867;376892.503821;63741.987225;139427.192828;1547423.462318;0.0;29694467.285992;4082436.807123;555051.465647;864651.1450370004;1031.193795;2513163.495364004
2023-01;30770802.043993;2817235.068464;5764291.97329;663686.917657;31277.170598;157864.046823;2864739.134419;0.0;32796914.2284651;4240844.960262;676943.896762;1338683.3695510007;1253.1417390000006;4015256.758464872
2022-12;27912368.63021;4024924.956563;4651203.086865;485401.787028;27850.449058;179097.469839;2164593.340823;0.0;33209900.3537468;4090196.953693;820684.836261;-1890397.8136160006;1003.5775570000005;3214051.812744168
2022-11;21597263.64462;3339814.215183;3469763.346776;543775.838169;41361.459237;130117.051823;2337664.491042;0.0;24286288.443367;4259802.01097;751253.828061;-1077146.676403;858.2931590000003;3238704.14769598
2022-10;20224827.015238;3227738.09208;2757186.304948;390296.753673;73278.33816;90008.284176;1841961.916816;0.0;20871294.9308761;4597311.279986;745709.572145;-275619.1304510004;771.7661180000002;2665828.286416932
2022-09;18190495.548696;2704001.982111;2223410.353443;273008.593671;107974.62699;168856.604006;1270117.779136;0.0;20942837.171863;4731764.132005;607216.632315;-3318241.665333;765.0494280000005;1973524.167774968
2022-08;18133046.525454;2469580.491209;2467722.699586;205400.886005;145057.5065870001;115670.45134;1259140.650439;0.0;20826867.443795;4725835.801215;527643.779103;-3213731.354874;843.3159390000001;1928160.225442033
2022-07;18780955.418368;2682769.302901;3202623.752322;173560.887333;171121.343399;130989.2775;1159115.497961;0.0;22033901.79368;5211095.27961;461341.399194;-3215411.287619;748.1686860000001;1809460.126232981
2022-06;20174820.272946;2069234.706539;3619172.759661;167748.197817;144986.3372329999;142405.177158;1125617.665265;0.0;21222019.418647;5047917.47946;438164.288042;-1063274.837123;726.1147410000009;1798432.65285201
2022-05;20529498.72166;2407269.501005;4404730.703558;184727.497149;147403.274506;195005.0685;1400552.230257;0.0;20961463.9672619;5109523.92333201;508504.467777;556161.0700000001;807.4788029999994;2132726.089461045
2022-04;21765642.98917;2845755.899505;4428227.737734;305212.427837;115303.98066;137442.452331;1914223.118144;0.0;24564191.8325741;4760612.417577;550509.579212;-1086798.038;871.1807970000011;2722421.633220923
2022-03;26851697.454331;3842166.197733;3993751.647983;296925.102671;91948.326834;146128.268166;1623904.637862;0.0;29628935.4802201;5033252.69367999;603012.113892;-994914.9149999998;835.2396040000009;2575401.02318389
2022-02;29577611.471501;2724774.474335;3814608.878392;427678.844005;62061.244003;145824.074335;2599667.186898;0.0;28739052.9785851;4521676.902974;616800.371286;1844098.6596659997;768.2247089999993;3629829.036248895
2022-01;35219864.217167;4221288.227212;5253348.517775;272786.021678;44564.439993;128250.212002;1321631.76988;0.0;39293739.1942869;4979877.486103;689843.837067;-995772.7846669997;830.8971010000002;2493214.775816069
2021-12;31501749.478839;3721767.34904;4705968.584259;327010.765334;31212.015;122072.469;1791739.685834;0.0;35601173.518986;4841309.474712;801907.887999;-1936756.3609999998;671.4892820000006;2893214.337326989
2021-11;30369317.417002;3992569.442235;3604457.25289;244997.246672;42008.831;134956.705166;1039912.776237;0.0;32682322.727777;4832257.647334;635001.115335;-799633.2909999999;446.4657830000003;2077825.005973007
2021-10;30656001.827667;2050773.480998;2739899.724253;297263.270995;85198.113;126925.414667;1723452.982835;0.0;24894955.25976;5165686.602437;638295.663498;4321781.506998;348.1901439999999;2658447.591577989
2021-09;29000377.609003;1751160.694332;3149020.93197;135904.153667;107987.526;126128.603668;794609.178664;0.0;22188119.068005;5154834.695173;376566.892667;5787176.558000001;309.5543219999998;1558181.929137009
2021-08;29010558.217169;526476.796337;4054707.640934;181089.047504;127688.884;120866.211501;1214567.068711;0.0;20424263.511058;4828963.61384001;364220.841002;7640570.022999999;285.9350839999998;1977649.942171958
2021-07;28449016.344664;1146959.728329;5106700.113612;187483.397665;129131.35;149610.969;1294231.32333;0.0;21491351.975971;5287326.898007;315347.169168;7319746.052999998;280.785482;2049080.344972004
2021-06;27714204.398831;1160984.134332;5631473.510807;138615.585999;128916.105;99246.633333;807026.059843;0.0;21811452.907422;5112327.16117;367971.361333;6850219.120000001;273.9015650000001;1538221.976655036
2021-05;27573972.984165;817417.047998;5500386.347293;290188.004335;115494.1709999999;117696.698666;2238550.116443;0.0;22064689.970227;5152738.344664;481704.122833;5918570.3270000005;170.497904;3035832.107272008
2021-04;27208831.896503;2557109.817329;3510414.861866;243613.136668;106713.127;102227.0695;1430470.718996;0.0;26135457.913613;4905285.455999;420406.110499;1445203.131;684.5202659999999;2252343.496484979
2021-03;31694793.33367;2381383.2325;5259797.606345;315768.454833;87030.447;136787.614835;1731842.763828;0.0;30107966.335822;5034727.96283599;482404.998667;3224061.7329999995;54.5483859999999;2758187.874299996
2021-02;30336785.591833;2368254.900996;6185291.712072;351940.746669;44729.001;119832.564168;1811906.90367;0.0;29764202.776181;4633581.77499701;527138.201333;3409104.414;46.330507;2884667.923390009
2021-01;37174108.035832;3756710.250665;6613678.274192;327677.677006;30852.242;125559.045835;1588955.7815;0.0;39175502.831165;5007074.965994;488771.470667;1989644.013;47.166339;2956500.859864991
2020-12;34431262.285226;3007227.040168;5156848.879171;328831.902336;22879.93;119854.190499;1829307.169832;80925.48499999997;34178304.098067;4734151.35433699;622867.323;2443871.939;0.0;2997942.167828002
2020-11;31564590.736489;2763354.901995;4088705.604009;245209.754333;47817.953;106831.888834;1407363.830162;38668.384;27809827.880278;4678087.323326;539853.221;4777950.390999999;0.0;2456824.237217957
2020-10;28270693.503166;2077912.487664;4636980.402329;321257.377;56944.213;106980.544836;2083224.081246;-522.878;25956994.6990521;5141326.938663;571549.740333;2838158.033;0.0;3045440.320192908
